Item,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
MP060128 - MALTODEXTRINA -  -  - - kg,"8,027.47","6,873.76","4,737.33","6,285.86","7,319.14","6,438.49","4,949.54","4,552.85","3,972.29","7,081.29","6,557.98","6,274.44"
MP060004 - AJO EN POLVO -  -  - FT-A7 - kg,"12,883.07","9,229.41","9,267.45","7,104.71","4,014.03","6,222.09","2,587.62","4,936.90","5,395.88","6,083.18","6,473.15","6,233.37"
MP062320 - MEZCLA EN POLVO P/NUGGETS - NG123644 -  - - kg,,0.00,0.00,"1,797.90","1,797.90",137.95,"2,942.24","6,859.76","5,144.46","3,850.19","4,146.35","6,080.86"
MP062084 - CONDIMENTO MORTADELA LD -  -  - - kg,"5,703.98","1,782.98","6,607.28","5,247.26","3,881.69","3,682.46","7,680.82","3,322.16","4,091.68","3,927.85","3,924.87","6,029.61"
MP060058 - MIEL DE ABEJA -  -  - FT-A84 - kg,"10,319.85","9,892.70","11,046.20","9,969.47","9,949.43","8,630.00","10,368.35","9,314.06","9,419.25","5,924.55","9,885.22","5,888.98"
MP062090 - SABOR CEBOLLA -  -  - 542147 CB - kg,"4,184.56","3,509.78","4,608.19","2,919.05","4,485.15","6,443.90","3,780.17","2,936.23","4,943.08","3,226.43","3,916.50","5,615.12"
MP060068 - FECULA DE PAPA -  -  - FT-A18 - kg,"7,363.63","8,555.86","6,050.04","9,047.76","5,769.69","11,650.86","9,671.97","28,796.53","8,951.23","14,567.62","14,361.55","5,558.09"
MP060089 - CONDIMENTO UP CHORIZO FRITZ -  -  - MP060089 - kg,"3,891.36",727.59,"3,153.23","3,219.51","2,982.12","3,139.98","5,462.67","1,900.49","5,255.60","5,704.63","3,473.47","5,349.35"
MP800136 - PEREJIL HOJAS DESHIDRATADO -  -  - - kg,"2,248.53","1,778.40","1,340.23","2,248.64","1,790.70","2,209.13","1,689.11","3,274.94","1,819.89","6,135.04","5,352.31","5,219.81"
MP062196 - SAL PRO I -  -  - . - kg,"4,794.97","8,887.73","5,707.48","8,045.15","7,852.21","5,303.05","5,823.70","7,059.31","7,447.75","6,399.62","10,576.00","5,179.16"
MP800239 - QUESO HOLANDES SPXI 190 G -  - 10 REBANADAS - . - uni,"1,797.25","4,044.25","3,225.25","4,788.00","3,864.00",478.02,"5,088.96","6,469.08","5,695.32","6,852.24","4,361.23","5,159.36"
MP062265 - PREMEZCLA LTA1 -  -  - 3MF25842 - kg,"4,258.33","4,816.10","5,580.48","3,563.67","1,250.36","7,224.94","3,675.72","4,934.75","9,129.60","13,260.91","9,900.93","4,757.12"
MP060013 - CEBOLLA EN POLVO -  -  - FT-A9 - kg,"10,180.19","7,706.45","6,164.60","8,134.50","4,505.29","4,487.99","5,713.26","2,881.70","4,748.23","4,817.18","7,821.60","4,731.36"
MP050004 - CITRATO DE SODIO -  -  - FT-A4 - kg,"2,242.06","2,988.10","3,219.41","3,066.40","1,914.17","6,130.07","4,580.14","5,182.47","5,406.47","3,706.42","4,234.39","4,497.10"
MP800212 - VINAGRE INCOLORO - ACIDEZ 10 -  -  - . - kg,"2,752.46","19,033.86","18,890.78","16,833.42","16,767.11","16,601.13","16,421.21","16,103.98","15,447.34","11,040.74","9,209.22","4,447.61"
MP062085 - APANADO NUGGETS POLLO 641-044 - GRIFFITH -  - MP062085 - kg,"11,157.92","3,455.90","8,186.07","9,048.00","5,807.12","4,001.46","7,959.73","9,879.98","7,190.37","3,658.68","2,188.65","4,324.00"
